filename,caption
image_0.jpg,Yijia Building of Tongji University / TJAD Atelier L+ - Exterior Photography
image_1.jpg,"Yijia Building of Tongji University / TJAD Atelier L+ - Interior Photography, Stairs"
image_2.jpg,"Embassy of the State of Kuwait / Architectkidd - Interior Photography, Bathroom"
image_3.jpg,"Embassy of the State of Kuwait / Architectkidd - Interior Photography, Wood, Glass"
image_4.jpg," Zhongli Peng's Residence / WEN Architect - Interior Photography, Wood, Glass"
image_5.jpg," Zhongli Peng's Residence / WEN Architect - Exterior Photography, Stairs, Balcony"
image_6.jpg,"Astroscale US Headquarters / Neoera - Interior Photography, Glass"
image_7.jpg,Astroscale US Headquarters / Neoera - Interior Photography
image_8.jpg,The MAP Administrative House of the Province of Namur / SAMYN and PARTNERS - Exterior Photography
image_9.jpg,"The MAP Administrative House of the Province of Namur / SAMYN and PARTNERS - Interior Photography, Wood"
image_10.jpg,Element Labs at University Research Park / Perkins+Will - Exterior Photography
image_11.jpg,"Element Labs at University Research Park / Perkins+Will - Exterior Photography, Facade"
image_12.jpg,Nikola Karabatic Sports Complex / Atelier Aconcept - Exterior Photography
image_13.jpg,Nikola Karabatic Sports Complex / Atelier Aconcept - Exterior Photography
image_14.jpg,Xilu Garden Observation Tower / atelier mearc - Exterior Photography
image_15.jpg,Xilu Garden Observation Tower / atelier mearc - Exterior Photography
image_16.jpg,"Villa Miro / Driss Kettani - Exterior Photography, Balcony"
image_17.jpg,"Villa Miro / Driss Kettani - Interior Photography, Wood, Chair"
image_18.jpg,"Horli Baking / True Thing Design Studio - Interior Photography, Lighting"
image_19.jpg,"Horli Baking / True Thing Design Studio - Interior Photography, Kitchen, Wood"
image_20.jpg,"Residense in Vilnius / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Living Room, Chair, Lighting, Table"
image_21.jpg,"Residense in Vilnius / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Closet, Wood, Lighting, Glass, Shelving"
image_22.jpg,"Art Legacy Hotel / Rebelo Andrade - Exterior Photography, Facade, Arch, Balcony, Arcade"
image_23.jpg,"Art Legacy Hotel / Rebelo Andrade - Interior Photography, Living Room, Lighting, Chair"
image_24.jpg,CRS79 Residence / OAD - Exterior Photography
image_25.jpg,CRS79 Residence / OAD - Drawings
image_26.jpg,Casa La Paz / Ludwig Godefroy Architecture - Exterior Photography
image_27.jpg,"Casa La Paz / Ludwig Godefroy Architecture - Interior Photography, Concrete, Chair"
image_28.jpg,Poodom Deqin Meri Hotel / BUZZ/ Büro Ziyu Zhuang - Exterior Photography
image_29.jpg,Poodom Deqin Meri Hotel / BUZZ/ Büro Ziyu Zhuang - Interior Photography
image_30.jpg,"Villa 144 / Lin3rd Architects  - Exterior Photography, Balcony"
image_31.jpg,Villa 144 / Lin3rd Architects  - Exterior Photography
image_32.jpg,Westminster Residence / Batay-Csorba Architects - Exterior Photography
image_33.jpg,"Westminster Residence / Batay-Csorba Architects - Interior Photography, Wood, Kitchen, Countertop"
image_34.jpg,Bumpsuit Store / Fox Fox Studio - Interior Photography
image_35.jpg,"Bumpsuit Store / Fox Fox Studio - Interior Photography, Closet"
image_36.jpg,Textile Factory Office / Ho Khue Architects - Exterior Photography
image_37.jpg,"Textile Factory Office / Ho Khue Architects - Exterior Photography, Balcony"
image_38.jpg,School Group Cap de Bos / BPM Architectes - Exterior Photography
image_39.jpg,School Group Cap de Bos / BPM Architectes - Interior Photography
image_40.jpg,"“KIDE” Outdoor Stage / Aalto University Wood Program - Exterior Photography, Wood"
image_41.jpg,"“KIDE” Outdoor Stage / Aalto University Wood Program - Interior Photography, Stairs"
image_42.jpg,"Brahminy House / HGA.Studio - Interior Photography, Living Room, Wood, Chair"
image_43.jpg,"Brahminy House / HGA.Studio - Exterior Photography, Balcony"
image_44.jpg,"The Canopy Pavilion by the Canal / AESEU Architectural Technology and Art studio - Exterior Photography, Waterfront, Cityscape"
image_45.jpg,The Canopy Pavilion by the Canal / AESEU Architectural Technology and Art studio - Interior Photography
image_46.jpg,"Element House / APOLLO Architects & Associates - Exterior Photography, Concrete"
image_47.jpg,"Element House / APOLLO Architects & Associates - Interior Photography, Concrete"
image_48.jpg,Casa CG / Alventosa Morell Arquitectes  - Exterior Photography
image_49.jpg,"Casa CG / Alventosa Morell Arquitectes  - Exterior Photography, Concrete"
image_50.jpg,"Pine Heath Townhouse / Studio Hagen Hall - Interior Photography, Wood, Lighting, Sofa"
image_51.jpg,"Pine Heath Townhouse / Studio Hagen Hall - Exterior Photography, Facade, Balcony"
image_52.jpg,Madwaleni River Lodge / Luxury Frontiers - Exterior Photography
image_53.jpg,"Madwaleni River Lodge / Luxury Frontiers - Interior Photography, Wood, Lighting"
image_54.jpg,"Settler's House Conversion / Kloepfel Zeimer Architekten - Interior Photography, Wood, Beam"
image_55.jpg,Settler's House Conversion / Kloepfel Zeimer Architekten - Interior Photography
image_56.jpg,"Lapland Central Hospital Extension / Verstas Architects - Exterior Photography, Facade"
image_57.jpg,Lapland Central Hospital Extension / Verstas Architects - Exterior Photography
image_58.jpg,House E / Studio 1:1 Design - Exterior Photography
