,file_name,description
0,contemporary_exterior_1.jpg,"large contemporary concrete house with 2 floors flat roof color scheme includes gray Swimming pool , surrounded by trees"
1,contemporary_exterior_10.jpg,"large contemporary wood house with 2 floors flat roof color scheme includes brown Large deck , surrounded by trees"
2,contemporary_exterior_100.jpg,"large contemporary wood house with 2 floors shingle roof color scheme includes brown Stone retaining wall , surrounded by trees, grass, and driveway"
3,contemporary_exterior_1000.jpg,"small contemporary wood house with 1 floor flat roof color scheme includes black Large windows , surrounded by trees, sidewalk, street"
4,contemporary_exterior_1001.jpg,large contemporary wood house with 2 floors gable roof color scheme includes brown and white Balcony surrounded by grassy area
5,contemporary_exterior_1002.jpg,"large contemporary stone, wood, glass house with 2 floors shingle roof color scheme includes white Large windows, stone chimney surrounded by grass, trees, driveway"
6,contemporary_exterior_1003.jpg,"large contemporary concrete house with 2 floors flat roof color scheme includes gray Glass windows , surrounded by trees"
7,contemporary_exterior_1004.jpg,large contemporary brick house with 3 floors flat roof color scheme includes red brick Balcony surrounded by neighboring houses
8,contemporary_exterior_1005.jpg,large contemporary concrete house with 3 floors flat roof color scheme includes blue Balcony surrounded by houses
9,contemporary_exterior_1006.jpg,"large contemporary wood house with 2 floors flat roof color scheme includes gray, white, and wood Large deck surrounded by yard"
10,contemporary_exterior_1007.jpg,"large contemporary wood house with 2 floors flat roof color scheme includes white Glass walls , surrounded by trees"
11,contemporary_exterior_1009.jpg,"large contemporary brick and wood house with 2 floors slanted roof color scheme includes white and red Arched doorway , surrounded by trees and bushes"
12,contemporary_exterior_101.jpg,large contemporary wood house with 2 floors flat roof color scheme includes white Glass walls surrounded by ocean
13,contemporary_exterior_1010.jpg,"small contemporary wood house with 2 floors flat roof color scheme includes black Large windows , surrounded by trees, driveway, patio"
14,contemporary_exterior_1011.jpg,"large contemporary brick, wood house with 2 floors shingle roof color scheme includes brown Chimney surrounded by grass, trees"
15,contemporary_exterior_1012.jpg,"large contemporary wood house with 2 floors shingle roof color scheme includes brown Stone pillars , surrounded by trees, grass, and driveway"
16,contemporary_exterior_1013.jpg,"large contemporary concrete house with 2 floors triangular roof color scheme includes white Glass windows surrounded by green bushes, fence, and house with brick chimney"
17,contemporary_exterior_1014.jpg,"large contemporary wood house with 2 floors gable roof color scheme includes brown Curved roof , surrounded by trees"
18,contemporary_exterior_1015.jpg,"large contemporary concrete house with 2 floors flat roof color scheme includes white Swimming pool , surrounded by trees"
