,file_name,description
0,000075d5af72f031bebab9a2cc637a9c.jpg,"modern living room with couch, chairs, table, tv wood, glass, metal, white, black, brown accents, natural light from windows, potted plants, vases, decorative items, clean, inviting, modern atmosphere"
1,0004d1936427ca4817962b20632b9786.jpg,"modern bedroom with bed, nightstand, dresser metal, fabric, glass, white, black, yellow, pink accents, natural light from windows, balls, balloons, toys, playful, fun, relaxing atmosphere"
2,00056bb6ceeaa2e05ca577625be5012b.jpg,"modern bathroom with toilet wood, white accents, natural, tiles, clean atmosphere"
3,000606bcca657ae453e76841a300967e.jpg,"modern bathroom with shower tile, white accents, natural light, shower curtain, clean atmosphere"
4,000b40e8c3641204b6510c3aaf6bf417.jpg,"modern living room with couch, chairs, table wood, fabric, gray, white accents, lights on ceiling, potted plants, vases, decorative pillows, clean, inviting atmosphere"
5,00148cce081c9f53bc59e9a5149c8cfb.jpg,"modern bedroom with bed, nightstand, dresser concrete, wood, white, gray accents, natural light from windows, wall art, minimalist design, clean, minimalist, inviting atmosphere"
6,00171769c7016e5a21e980cb4ed5d9a3.jpg,"modern living room with couch, chair, table wood, brown accents, natural light from windows, books, lamp, table, cozy atmosphere"
7,00182b5c1c7f3aa7de81acdd1e774e3b.jpg,"modern living room with couch, coffee table, books wood, white accents, natural light from windows, books, coffee table, couch, cozy atmosphere"
8,002536bb6827ad283b26914e37275713.jpg,"modern bathroom with bathtub wood, white accents, natural light, towel, shower head, shower curtain, clean, airy atmosphere"
9,002e47d3a382e5f582e500f1117a7f80.jpg,"modern living room with couch, chair, ottoman wood, metal, fabric, white, brown, red accents, natural light from windows, rug, pillows, vase, cozy, inviting atmosphere"
10,003336d1f9796d0ee4fe67b52c330d4e.jpg,"modern living room with couch, coffee table, fireplace wood, metal, glass, white, gray, black, green accents, natural light from windows, pillows, coffee table, fireplace, cozy, inviting atmosphere"
11,0035b076660279525aa7d135e6e51ade.jpg,"modern bathroom with shower, tub, toilet tile, glass, metal, white, beige, gray accents, natural light from window, shower curtain, towel rack, soap dispenser, toilet paper holder, clean, bright, inviting atmosphere"
12,0039e31b82a803503f3765422caab105.jpg,"modern bathroom with bathtub glass, metal, stone, black, white, gray accents, natural light from windows, plants, vases, and potted plant, clean, minimalist, and inviting atmosphere"
13,003ab8c514e466cd8783ed49a28cd44e.jpg,"modern bathroom with sink, mirror, towel rack glass, tile, wood, white, gray, black accents, natural light from window, towel rack, mirror, sink, clean, bright, minimalist atmosphere"
14,0041e541e9e00a1c3c340c5ebb6b47d9.jpg,"rustic kitchen with cabinets, sink, and door wood, brown accents, natural light from windows, wooden walls and cabinets, cozy atmosphere"
15,0055457a72b4bb28103055fdeece660f.jpg,"modern living room with couch, chairs, coffee table, tv stand wood, glass, fabric, white, brown, black, green accents, natural light from windows, potted plants, vases, books, decorative bowls, cozy, inviting atmosphere"
16,006ecb1e7855fd801801ce39528a665d.jpg,"modern kitchen with cabinets, countertop, sink, refrigerator, oven, microwave, potted plant wood, glass, metal, fabric, white, brown, black, green accents, recessed lighting, potted plant, vase, bowl, bottle, clean, bright, inviting atmosphere"
17,007bd54b67dfc1c24fba4417ca6ab874.jpg,"modern living room with couch, chairs, coffee table, potted plant glass, wood, fabric, white, gray, blue accents, natural light from windows, potted plant, vase, coffee table, bright, inviting atmosphere"
18,007ed5b39b620f28b9b1f6af0bbcb91b.jpg,"modern living room with chair, ottoman, table wood, glass, fabric, white, brown, black accents, natural light from windows, potted plants, vases, books, cozy, inviting atmosphere"
19,009b42ad7bb855a232d984fe01437a29.jpg,"modern bathroom with shower curtain glass, tile, metal, white, gray, black accents, natural light from window, shower curtain, towel rack, soap dispenser, mirror, clean, minimalist, inviting atmosphere"
